"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.815720242E1,4.301842758E1,1.381957537E1,1.115748798E2,1.557534790E2,1.960000038E0,2.767999878E2,1.221080715E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.915002882E1,4.301842956E1,1.381955263E1,1.117106760E2,1.558893433E2,1.679999948E0,2.848999939E2,1.237271328E-1,3.790092468E0,3.000000000E0,2.500000000E1
8.015545987E1,4.301843340E1,1.381953342E1,1.123970266E2,1.565757446E2,1.659999967E0,2.918999939E2,1.251794066E-1,3.790092468E0,3.000000000E0,2.500000000E1
8.114988695E1,4.301843239E1,1.381951561E1,1.122398607E2,1.564186401E2,1.470000029E0,2.722000122E2,1.265353531E-1,3.790092468E0,3.000000000E0,2.500000000E1
8.215720221E1,4.301842955E1,1.381949939E1,1.131848671E2,1.573637085E2,1.399999976E0,2.670000000E2,1.277412074E-1,3.790092468E0,3.000000000E0,2.600000000E1
8.315485507E1,4.301842720E1,1.381948491E1,1.132996805E2,1.574785767E2,1.399999976E0,2.755000000E2,1.288018498E-1,3.790092468E0,3.000000000E0,2.600000000E1
8.415796091E1,4.301842823E1,1.381947194E1,1.139366043E2,1.581155396E2,1.409999967E0,2.818999939E2,1.299849150E-1,3.790092468E0,3.000000000E0,2.400000000E1
8.514968882E1,4.301842557E1,1.381945785E1,1.148238789E2,1.590028687E2,1.409999967E0,2.797999878E2,1.310701615E-1,3.790092468E0,3.000000000E0,2.300000000E1
8.615410747E1,4.301842834E1,1.381944505E1,1.156796197E2,1.598586426E2,1.419999957E0,2.852000122E2,1.323536546E-1,3.790092468E0,3.000000000E0,2.300000000E1
8.715836189E1,4.301842611E1,1.381942956E1,1.157340054E2,1.599130859E2,1.480000019E0,2.650000000E2,1.336744823E-1,3.790092468E0,3.000000000E0,2.300000000E1
8.815655783E1,4.301842645E1,1.381941332E1,1.157464045E2,1.599255371E2,1.409999967E0,2.737999878E2,1.348496653E-1,3.790092468E0,3.000000000E0,2.300000000E1
8.915177642E1,4.301843305E1,1.381940203E1,1.152878313E2,1.594669800E2,1.720000029E0,3.182000122E2,1.363518837E-1,3.790092468E0,3.000000000E0,2.300000000E1
9.015104304E1,4.301842684E1,1.381938562E1,1.158161394E2,1.599953613E2,1.830000043E0,2.456000061E2,1.382044848E-1,3.790092468E0,3.000000000E0,2.300000000E1
